Nom;GPS
Facultés libres de l'ouest - UCO - Bretagne Nord (Guingamp - 22);48.5612,-3.1642
Facultés libres de l'ouest UCO - Angers (49);47.4631,-0.54678
Lycée polyvalent Jean Moulin (Béziers - 34);43.3432,3.23372
Lycée polyvalent privé La Salle (Lille - 59);50.6291,3.03928
CFA DU LYCEE STANISLAS (Wissembourg - 67);49.0352,7.96057
CARREL Centre de formation (Lyon 6e  Arrondissement - 69);45.7662,4.84964
Université Grenoble Alpes (38);45.1922,5.77368
CFA de l'industrie Rouen/Dieppe (Le Mesnil-Esnard - 76);49.4142,1.14569
IFA - CFA DE LA CCI ALSACE (Strasbourg - 67);48.5551,7.74507
IFA - CFA DE LA CCI ALSACE (Mulhouse - 68);47.727,7.30809
Lycée Roger Verlomme (Paris 15e  Arrondissement - 75);48.848,2.29319
Lycée Guy De Maupassant (Fécamp - 76);49.7465,0.38721
Lycée Pierre Corneille (Rouen - 76);49.4457,1.10117
CY TECH - Université de Cergy-Pontoise (95);49.0388,2.07414
Université de Cergy-Pontoise - CY SUP (95);49.0388,2.07414
Lycée professionnel L Abbaye (Beaugency - 45);47.777,1.63422
Lycée Marie De Champagne (Troyes - 10);48.3059,4.06343
Lycée Raymond Naves (Toulouse - 31);43.638,1.46135
Lycée Antoine Bourdelle (Montauban - 82);44.0131,1.3699
Lycée Charles Carnus (Rodez - 12);44.3556,2.55569
Lycée professionnel agricole du Robert (Le Robert - 972);14.6769,-60.9453
Lycée professionnel Desaix (Saint-Eloy-les-Mines - 63);46.1613,2.81925
lycée E.P.I.D. (Dunkerque - 59);51.027,2.37163
Lycée professionnel Rontaunay (Saint-Denis - 974);-20.8877,55.47
Lycée Saint-Paul (Lens - 62);50.436,2.82236
Lycée professionnel Sainte-Marie (Bagnols-sur-Cèze - 30);44.1612,4.62384
Lycée Bonaparte (Autun - 71);46.9382,4.2943
Lycée professionnel Raoul Mortier (Montmorillon - 86);46.4281,0.86123
Lycée professionnel Les Savarières (Saint-Sébastien-sur-Loire - 44);47.2107,-1.48975
Lycée Frederic Et Irene Joliot Curie (Hirson - 02);49.9298,4.08236
Lycée Du Hainaut (Valenciennes - 59);50.3583,3.51076
Université de La Rochelle (17);46.1476,-1.15511
Université Jean Moulin Lyon 3 (Lyon 8e  Arrondissement - 69);45.74813,4.86025
Université Toulouse 2 Jean Jaurès (31);43.5784,1.40266
CFAI SUD FRANCHE-COMTE Dole et Gevingey (39);47.0988,5.49593
Université Angers-Campus de Cholet (49);47.0486,-0.86659
BATIMENT CFA EVREUX (27);49.002,1.13422
Université de Bordeaux - Bordeaux Métropole (Talence - 33);44.8081,-0.59556
Lycée Amiral Pierre Bouvet (Saint-Benoît - 974);-21.0397,55.7156
Lycée Raymond Queneau (Yvetot - 76);49.6135,0.769
Lycée du Forez (Feurs - 42);45.7514,4.22848
Université Lumière-Lyon 2 (69);45.7508,4.83627
Lycée Jay De Beaufort (Périgueux - 24);45.1817,0.711
Université Toulouse 3 Paul Sabatier (31);43.5608,1.46936
Lycée professionnel Tristan Corbiere (Morlaix - 29);48.5776,-3.82823
Sorbonne Université – Sciences et Ingénierie (Paris  5e  Arrondissement - 75);48.8466,2.35455
Université de Perpignan Via Domitia (66);42.6846,2.89905
Avignon Université (84);43.9499,4.81762
Lycée Porto Vecchio (20);41.5995,9.27139
L.P.A. de Mirande (32);43.5161,0.40335
Université de Nantes (44);47.2447,-1.55109
Université Bordeaux Montaigne (Pessac - 33);44.7966,-0.61747
Université de Limoges - Antenne de Brive (Brive-la-Gaillarde - 19);45.1547,1.5092
CFAI SUD FRANCHE-COMTE Besançon (25);47.2537,5.99745
Lycée Les Andaines (La Ferté Macé - 61);48.5861,-0.35896
Brest Business School (29);48.4061,-4.52165
Université Savoie Mont Blanc - Chambéry (Jacob-Bellecombette - 73);45.558,5.91097
IUT C - Roubaix - Université de Lille (59);50.69668,3.16553
Lycée Professionnel St Genes La Salle (Bordeaux - 33);44.8248,-0.58047
Université de Rennes 2 (35);48.12162,-1.70445
Lycée CASSINI (Clermont - 60);49.3838,2.40553
Lycée professionnel Paul Louis Cyfflé (Nancy - 54);48.6869,6.18204
I.U.T de Bordeaux - Site de Périgueux (24);45.1965,0.71765
CFA Campus du Lac - Campus de Bordeaux. (33);44.8763,-0.57437
Lycée de Mauriac (15);45.2121,2.33988
Antenne d'Albi du CFA du Tarn (81);43.9187,2.0983
Lycée La Fayette (Clermont-Ferrand - 63);45.7626,3.13152
Maison Familiale et Rurale du Clunisois (Mazille - 71);46.3964,4.61071
Lycée Paul Langevin (Beauvais - 60);49.415,2.10628
CFA de l'industrie de la Marne (Reims - 51);49.2388,4.06294
Université d'Orléans (45);47.8502,1.93351
CFA 79 - Bressuire (79);46.841,-0.51273
PROMEO CFAI 8002 - Antenne de Soissons (02);49.3727,3.34628
Lycée des Métiers le Corbusier de Soissons (02);49.3645,3.31632
Lycée Sarda Garriga (Saint-André - 974);-20.9652,55.6544
Lycée Marie Curie (Nogent-sur-Oise - 60);49.2663,2.463
Lycée ORT (Lyon 8e  Arrondissement - 69);45.738,4.86799
CFA de la CCI de la Mayenne - Ecole Supérieure de Commerce et Management de la Mayenne (Laval - 53);48.0876,-0.7548
LGT Réaumur (Laval - 53);48.0683,-0.75872
Lycée Gaston Crampe (Aire-sur-l'Adour - 40);43.6916,-0.27834
Université Savoie Mont Blanc - Bourget-du-Lac (Le Bourget-du-Lac - 73);45.6415,5.87052
CFA de l'industrie de l'Aube (Rosières-près-Troyes - 10);48.268,4.07664
CFI, Ecole connectée au futur de l'industrie, site de Montigny (Montigny-le-Bretonneux - 78);48.7743,2.0167
Maison familiale rurale de Mouilleron (Mouilleron-Saint-Germain - 85);46.6749,-0.84812
Lycée Pierre Mendes France (Vic-en-Bigorre - 65);43.389,0.05577
Lycée Marie Curie (Tarbes - 65);43.2238,0.0768
Université Angers (49);47.47857,-0.55009
CFA AGRIC. CFAAD DU LOIRET (Bellegarde - 45);47.9878,2.43902
CFA Robert SCHUMAN (Metz - 57);49.1105,6.20728
Lycée polyvalent Charles de Gaulle (Muret - 31);43.4995,1.30972
Lycée Hemingway - De La Camargue (Nîmes - 30);43.8249,4.35335
ISVT (Vals-près-le-Puy - 43);45.0332,3.87943
Lycée Sainte Marguerite (Chambray-lès-Tours - 37);47.3456,0.72164
Lycée Jules Verne (Mondeville - 14);49.168,-0.32733
BTP CFA DE LOIR ET CHER (Blois - 41);47.6095,1.32048
Lycée Emmanuel d'Alzon (Nîmes - 30);43.8344,4.37175
Institut Catholique de Lyon (69);45.7514,4.82694
IMEA Vesoul (70);47.6405,6.15057
Lycée Le Likès (Quimper - 29);48.0004,-4.10193
CFA DU BATIMENT ET DES TRAVAUX PUBLICS (Clermont-Ferrand - 63);45.7685,3.11262
Lycée professionnel Jean Albert Gregoire (Soyaux - 16);45.6299,0.2178
Lycée Nicéphore Niepce (Chalon-sur-Saône - 71);46.7874,4.83813
CFA du bâtiment et travaux publics Georges Boché (Massiac - 15);45.2612,3.1775
