Pays;Population_pays;Superficie;Densite;Capitale;Population_capitale
Andorra;84000;468;179.48717948717947;Andorra la Vella;20430
United Arab Emirates;4975593;82880;60.033699324324324;Abu Dhabi;603492
Afghanistan;29121286;647500;44.974959073359074;Kabul;3043532
Antigua and Barbuda;86754;443;195.83295711060947;Saint John’s;24226
Anguilla;13254;102;129.94117647058823;The Valley;2035
Albania;2986952;28748;103.90121051899263;Tirana;374801
Armenia;2968000;29800;99.59731543624162;Yerevan;1093485
Angola;13068161;1246700;10.482201812785755;Luanda;2776168
Argentina;41343201;2766890;14.942119491559115;Buenos Aires;13076300
American Samoa;57881;199;290.85929648241205;Pago Pago;11500
Austria;8205000;83858;97.84397433757066;Vienna;1691468
Australia;21515754;7686850;2.799033934576582;Canberra;367752
Aruba;71566;193;370.80829015544043;Oranjestad;29998
Aland Islands;26711;1580;16.905696202531647;Mariehamn;10682
Azerbaijan;8303512;86600;95.8835103926097;Baku;1116513
Bosnia and Herzegovina;4590000;51129;89.77292730153142;Sarajevo;696731
Barbados;285653;431;662.7679814385151;Bridgetown;98511
Bangladesh;156118464;144000;1084.156;Dhaka;10356500
Belgium;10403000;30510;340.97017371353655;Brussels;1019022
Burkina Faso;16241811;274200;59.23344638949672;Ouagadougou;1086505
Bulgaria;7148785;110910;64.45572987106664;Sofia;1152556
Bahrain;738004;665;1109.7804511278196;Manama;147074
Burundi;9863117;27830;354.4059288537549;Bujumbura;331700
Benin;9056010;112620;80.41209376664891;Porto-Novo;234168
Saint Barthelemy;8450;21;402.3809523809524;Gustavia;5988
Bermuda;65365;53;1233.301886792453;Hamilton;902
Brunei;395027;5770;68.46221837088389;Bandar Seri Begawan;64409
Bolivia;9947418;1098580;9.05479619144714;Sucre;224838
Brazil;201103330;8511965;23.62595828342809;Brasília;2207718
Bahamas;301790;13940;21.649210903873744;Nassau;227940
Bhutan;699847;47000;14.89036170212766;Thimphu;98676
Botswana;2029307;600370;3.3800939420690574;Gaborone;208411
Belarus;9685000;207600;46.652215799614645;Minsk;1742124
Belize;314522;22966;13.695114517112254;Belmopan;13381
Canada;33679000;9984670;3.37307091771686;Ottawa;812129
Cocos Islands;628;14;44.857142857142854;West Island;120
Democratic Republic of the Congo;70916439;2345410;30.236265301162696;Kinshasa;7785965
Central African Republic;4844927;622984;7.776968589883528;Bangui;542393
Republic of the Congo;3039126;342000;8.886333333333333;Brazzaville;1284609
Switzerland;8484100;41290;205.47590215548558;Bern;121631
Ivory Coast;21058798;322460;65.30669850524096;Yamoussoukro;194530
Cook Islands;21388;240;89.11666666666666;Avarua;13373
Chile;16746491;756950;22.12364224849726;Santiago;4837295
Cameroon;19294149;475440;40.58166961130742;Yaoundé;1299369
China;1330044000;9596960;138.5901368766776;Beijing;11716620
Colombia;47790000;1138910;41.96117340263937;Bogotá;7674366
Costa Rica;4516220;51100;88.38003913894325;San José;335007
Cuba;11423000;110860;103.03987010644056;Havana;2163824
Cabo Verde;508659;4033;126.12422514257376;Praia;113364
Curacao;141766;444;319.2927927927928;Willemstad;125000
Christmas Island;1500;135;11.11111111111111;Flying Fish Cove;500
Cyprus;1102677;9250;119.20832432432432;Nicosia;200452
Czechia;10476000;78866;132.83290644891335;Prague;1165581
Germany;81802257;357021;229.1244968783349;Berlin;3426354
Djibouti;740528;23000;32.19686956521739;Djibouti;623891
Denmark;5484000;43094;127.25669466747111;Copenhagen;1153615
Dominica;72813;754;96.56896551724138;Roseau;16571
Dominican Republic;9823821;48730;201.59698337779602;Santo Domingo;2201941
Algeria;34586184;2381740;14.52139360299613;Algiers;1977663
Ecuador;14790608;283560;52.16041754831429;Quito;1399814
Estonia;1291170;45226;28.54928580904789;Tallinn;394024
Egypt;80471869;1001450;80.35535373708123;Cairo;7734614
Western Sahara;273008;266000;1.0263458646616541;Laayoune;196331
Eritrea;5792984;121320;47.749620837454664;Asmara;563930
Spain;46505963;504782;92.13078715168132;Madrid;3255944
Ethiopia;88013491;1127127;78.08657853107947;Addis Ababa;2757729
Finland;5244000;337030;15.559445746669436;Helsinki;558457
Fiji;875983;18270;47.94652435686918;Suva;77366
Falkland Islands;2638;12173;0.2167091103261316;Stanley;2213
Micronesia;107708;702;153.43019943019942;Palikir - National Government Center;0
Faroe Islands;48228;1399;34.473195139385275;Tórshavn;13200
France;64768389;547030;118.40006763797233;Paris;2138551
Gabon;1545255;267667;5.773050095828025;Libreville;578156
United Kingdom;62348447;244820;254.67056204558452;London;7556900
Grenada;107818;344;313.4244186046512;Saint George's;7500
Georgia;4630000;69700;66.42754662840746;Tbilisi;1049498
French Guiana;195506;91000;2.1484175824175824;Cayenne;61550
Guernsey;65228;78;836.2564102564103;Saint Peter Port;16488
Ghana;24339838;239460;101.64469222417105;Accra;1963264
Gibraltar;27884;6.5;4289.846153846154;Gibraltar;26544
