Id;Name;Latitude;Longitude;Country_ISO;Population
3040051;les Escaldes;42.50729;1.53414;AD;15853
3041563;Andorra la Vella;42.50779;1.52109;AD;20430
290594;Umm Al Quwain City;25.56473;55.55517;AE;62747
291074;Ras Al Khaimah City;25.78953;55.9432;AE;351943
291580;Zayed City;23.65416;53.70522;AE;63482
291696;Khawr Fakkān;25.33132;56.34199;AE;40677
292223;Dubai;25.07725;55.30927;AE;2956587
292231;Dibba Al-Fujairah;25.59246;56.26176;AE;30000
292239;Dibba Al-Hisn;25.61955;56.27291;AE;26395
292672;Sharjah;25.33737;55.41206;AE;1324473
292688;Ar Ruways;24.11028;52.73056;AE;16000
292878;Al Fujairah City;25.11641;56.34141;AE;86512
292913;Al Ain City;24.19167;55.76056;AE;55091
292932;Ajman City;25.40177;55.47878;AE;490035
292953;Adh Dhayd;25.28812;55.88157;AE;24716
292968;Abu Dhabi;24.45118;54.39696;AE;603492
8057551;Khalifah A City;24.42588;54.605;AE;85374
12042052;Bani Yas City;24.30978;54.62944;AE;80498
12042053;Musaffah;24.35893;54.48267;AE;243341
12047416;Al Shamkhah City;24.39268;54.70779;AE;61710
12047417;Reef Al Fujairah City;25.14479;56.24764;AE;82310
1120985;Zaranj;30.95962;61.86037;AF;49851
1123004;Taloqan;36.73605;69.53451;AF;64256
1125155;Shīnḏanḏ;33.30294;62.1474;AF;29264
1125444;Shibirghān;36.66757;65.7529;AF;55641
1125896;Shahrak;34.10737;64.3052;AF;15967
1127110;Sar-e Pul;36.21544;65.93249;AF;52121
1127628;Sang-e Chārak;35.84972;66.43694;AF;15377
1127768;Aībak;36.26468;68.01551;AF;47823
1128265;Rustāq;37.12604;69.83045;AF;25636
1129516;Qarqīn;37.41853;66.04358;AF;15018
1129648;Qarāwul;37.21959;68.7802;AF;24544
1130490;Pul-e Khumrī;35.94458;68.71512;AF;56369
1131316;Paghmān;34.58787;68.95091;AF;49157
1132495;Nahrīn;36.0649;69.13343;AF;22363
1133453;Maymana;35.92139;64.78361;AF;75900
1133574;Mehtar Lām;34.67139;70.20944;AF;17345
1133616;Mazār-e Sharīf;36.70904;67.11087;AF;303282
1134720;Lashkar Gāh;31.59382;64.37161;AF;43934
1135158;Kushk;33.29565;61.95221;AF;16952
1135689;Kunduz;36.72895;68.857;AF;161902
1136469;Khōst;33.33951;69.92041;AF;96123
1136575;Khulm;36.69736;67.69826;AF;64933
1136863;Khāsh;31.52919;62.79055;AF;15133
1137168;Khanabad;36.6825;69.11556;AF;71531
1137807;Karukh;34.48108;62.5863;AF;17484
1138336;Kandahār;31.61332;65.71013;AF;391190
1138958;Kabul;34.52813;69.17233;AF;3043532
1139715;Jalālābād;34.42647;70.45153;AF;200331
1139807;Jabal os Saraj;35.11833;69.23778;AF;15032
1140026;Herāt;34.34817;62.19967;AF;272806
1141089;Ghormach;35.73062;63.78264;AF;30000
1141269;Ghazni;33.55391;68.42096;AF;141000
1141540;Gereshk;31.82089;64.57005;AF;43588
1141857;Gardez;33.59744;69.22592;AF;103601
1142170;Fayzabad;37.11664;70.58002;AF;44421
1142264;Farah;32.37451;62.11638;AF;43561
1142404;Kafir Qala;34.66667;61.06667;AF;18086
1145352;Charikar;35.01361;69.17139;AF;53676
1147066;Baraki Barak;33.96744;68.9492;AF;22305
1147242;Bāmyān;34.82156;67.82734;AF;61863
1147290;Balkh;36.75635;66.8972;AF;114883
1147540;Baghlān;36.13068;68.70829;AF;108449
1148106;Ārt Khwājah;37.08571;69.47958;AF;18623
1148205;Āsmār;35.03333;71.35809;AF;15708
1148311;Asadābād;34.87311;71.14697;AF;48400
1148658;Andkhōy;36.95293;65.12376;AF;29208
1429434;Bāzārak;35.31292;69.51519;AF;65000
1469706;Markaz-e Woluswalī-ye Āchīn;34.12583;70.70778;AF;15098
3576022;Saint John’s;17.12096;-61.84329;AG;24226
3573374;The Valley;18.21704;-63.05783;AI;2035
363243;Sarandë;39.87534;20.00477;AL;15147
781988;Pogradec;40.9025;20.6525;AL;61530
782661;Kukës;42.07694;20.42194;AL;17832
782756;Korçë;40.61861;20.78083;AL;58259
783148;Gjirokastër;40.07583;20.13889;AL;23437
783263;Elbasan;41.1125;20.08222;AL;100903
783493;Burrel;41.61028;20.00889;AL;15405
3183719;Vlorë;40.4686;19.48318;AL;89546
3183875;Tirana;41.3275;19.81889;AL;374801
3184081;Shkodër;42.06828;19.51258;AL;88245
3184517;Patos Fshat;40.64278;19.65083;AL;22679
3184518;Patos;40.68333;19.61944;AL;60000
3184862;Lushnjë;40.94194;19.705;AL;41469
3184935;Lezhë;41.78361;19.64361;AL;18695
3185012;Laç;41.63556;19.71306;AL;24825
3185060;Kuçovë;40.80028;19.91667;AL;18166
3185082;Krujë;41.50917;19.79278;AL;21286
3185211;Kavajë;41.18556;19.55694;AL;29354
3185670;Fier-Çifçi;40.71667;19.56667;AL;60995
3185672;Fier;40.72389;19.55611;AL;56297
3185728;Durrës;41.32355;19.45469;AL;122034
3186084;Berat;40.70583;19.95222;AL;46866
174875;Kapan;39.20755;46.40576;AM;33160
174895;Goris;39.51111;46.34168;AM;20379
174972;Hats’avan;39.46405;45.97047;AM;15208
174979;Artashat;39.96144;44.54447;AM;20562
174991;Ararat;39.83069;44.70569;AM;28832
616052;Yerevan;40.18111;44.51361;AM;1093485
616062;Vagharshapat;40.16557;44.29462;AM;46540
616194;Step’anavan;41.00995;44.38531;AM;23782
616199;Spitak;40.83221;44.26731;AM;15059
616250;Sevan;40.5473;44.94171;AM;17083
616435;Masis;40.06542;44.41618;AM;18911
616530;Vanadzor;40.80456;44.4939;AM;101098
616599;Gavarr;40.35398;45.12386;AM;21680
616629;Hrazdan;40.49748;44.7662;AM;40795
616631;Armavir;40.15446;44.03815;AM;25963
616635;Gyumri;40.7942;43.84528;AM;148381
616877;Ashtarak;40.2991;44.36204;AM;18779
617026;Abovyan;40.27368;44.63348;AM;35673
145531;Saurimo;-9.66078;20.39155;AO;40498
145724;Lucapa;-8.41915;20.74466;AO;20115
876177;Luau;-10.70727;22.22466;AO;18465
2236568;Uíge;-7.60874;15.06131;AO;60008
2236967;Soio;-6.1349;12.36894;AO;67491
2239001;N'zeto;-7.23116;12.8666;AO;18352
2239076;N’dalatando;-9.29782;14.91162;AO;383100
2239520;Mbanza Congo;-6.26703;14.2401;AO;24220
2239862;Malanje;-9.54015;16.34096;AO;87046
2240449;Luanda;-8.83682;13.23432;AO;2776168
2242001;Caxito;-8.57848;13.66425;AO;28224
2243271;Cabinda;-5.55;12.2;AO;66020
3346015;Sumbe;-11.20605;13.84371;AO;33277
3347019;Namibe;-15.19611;12.15222;AO;80149
3347353;Menongue;-14.6585;17.69099;AO;32203
3347719;Luena;-11.78333;19.91667;AO;21115
